Year,Quarter,Requests,Class
2020,1,1380,high
2020,2,928,normal
2020,3,1193,normal
2020,4,1424,high
2021,1,1379,high
2021,2,858,normal
2021,3,860,normal
2021,4,1339,high
2022,1,1462,high
2022,2,1039,normal
2022,3,1184,normal
2022,4,1440,high
2023,1,1358,high
2023,2,828,normal
2023,3,1034,normal
2023,4,1362,high
2024,1,1449,high
2024,2,1076,normal
2024,3,1048,normal
2024,4,1388,high
2025,1,1355,high
2025,2,1159,normal
2025,3,1192,normal
2025,4,1419,high
2026,1,1360,high
2026,2,875,normal
2026,3,1020,normal
2026,4,1397,high
2027,1,1406,high
2027,2,1135,normal
2027,3,908,normal
2027,4,1362,high
2028,1,1471,high
2028,2,919,normal
2028,3,1007,normal
2028,4,1417,high
2029,1,1327,high
2029,2,1054,normal
2029,3,1186,normal
2029,4,1397,high
